src/chess/Cell.java:13:	Avoid short class names like Cell
src/chess/Cell.java:17:	Avoid excessively long variable names like ispossibledestination
src/chess/Cell.java:17:	Field ispossibledestination has the same name as a method
src/chess/Cell.java:17:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:17:	fieldCommentRequirement Required
src/chess/Cell.java:18:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:18:	fieldCommentRequirement Required
src/chess/Cell.java:19:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:19:	fieldCommentRequirement Required
src/chess/Cell.java:20:	Avoid variables with short names like x
src/chess/Cell.java:20:	Avoid variables with short names like y
src/chess/Cell.java:20:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:20:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:20:	To avoid mistakes add a comment at the beginning of the x field if you want a default access modifier
src/chess/Cell.java:20:	Use explicit scoping instead of the default package private level
src/chess/Cell.java:20:	fieldCommentRequirement Required
src/chess/Cell.java:21:	Avoid using redundant field initializer for 'isSelected'
src/chess/Cell.java:21:	Field isSelected has the same name as a method
src/chess/Cell.java:21:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:21:	fieldCommentRequirement Required
src/chess/Cell.java:22:	Avoid using redundant field initializer for 'ischeck'
src/chess/Cell.java:22:	Field ischeck has the same name as a method
src/chess/Cell.java:22:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/chess/Cell.java:22:	fieldCommentRequirement Required
src/chess/Cell.java:25:	Avoid variables with short names like p
src/chess/Cell.java:25:	Avoid variables with short names like x
src/chess/Cell.java:25:	Avoid variables with short names like y
src/chess/Cell.java:25:	It is a good practice to call super() in a constructor
src/chess/Cell.java:25:	Parameter 'p' is not assigned and could be declared final
src/chess/Cell.java:25:	Parameter 'x' is not assigned and could be declared final
src/chess/Cell.java:25:	Parameter 'y' is not assigned and could be declared final
src/chess/Cell.java:25:	publicMethodCommentRequirement Required
src/chess/Cell.java:33:	Avoid using if...else statements without curly braces
src/chess/Cell.java:36:	Avoid using if...else statements without curly braces
src/chess/Cell.java:38:	Avoid using if statements without curly braces
src/chess/Cell.java:39:	Overridable method 'setPiece' called during object construction
src/chess/Cell.java:42:	Comment is too large: Line too long
src/chess/Cell.java:43:	It is a good practice to call super() in a constructor
src/chess/Cell.java:43:	Parameter 'cell' is not assigned and could be declared final
src/chess/Cell.java:43:	publicMethodCommentRequirement Required
src/chess/Cell.java:49:	Avoid using if...else statements without curly braces
src/chess/Cell.java:51:	Avoid using if...else statements without curly braces
src/chess/Cell.java:52:	Avoid if (x != y) ..; else ..;
src/chess/Cell.java:54:	Overridable method 'setPiece' called during object construction
src/chess/Cell.java:57:	Assigning an Object to null is a code smell.  Consider refactoring.
src/chess/Cell.java:57:	Avoid using if...else statements without curly braces
src/chess/Cell.java:60:	Avoid variables with short names like p
src/chess/Cell.java:60:	Parameter 'p' is not assigned and could be declared final
src/chess/Cell.java:60:	publicMethodCommentRequirement Required
src/chess/Cell.java:63:	Local variable 'img' could be declared final
src/chess/Cell.java:63:	Unnecessary use of fully qualified name 'javax.swing.ImageIcon' due to existing import 'javax.swing.*'
src/chess/Cell.java:68:	publicMethodCommentRequirement Required
src/chess/Cell.java:72:	Assigning an Object to null is a code smell.  Consider refactoring.
src/chess/Cell.java:77:	Assigning an Object to null is a code smell.  Consider refactoring.
src/chess/Cell.java:83:	publicMethodCommentRequirement Required
src/chess/Cell.java:88:	publicMethodCommentRequirement Required
src/chess/Cell.java:94:	publicMethodCommentRequirement Required
src/chess/Cell.java:99:	publicMethodCommentRequirement Required
src/chess/Cell.java:105:	publicMethodCommentRequirement Required
src/chess/Cell.java:111:	publicMethodCommentRequirement Required
src/chess/Cell.java:117:	publicMethodCommentRequirement Required
src/chess/Cell.java:122:	publicMethodCommentRequirement Required
src/chess/Cell.java:128:	publicMethodCommentRequirement Required
src/chess/Cell.java:132:	Avoid using if...else statements without curly braces
src/chess/Cell.java:134:	Avoid using if...else statements without curly braces
src/chess/Cell.java:138:	publicMethodCommentRequirement Required
src/chess/Main.java:1:	Possible God class (WMC=149, ATFD=167, TCC=0.1437908496732026)
src/chess/Main.java:30:	Avoid short class names like Main
src/chess/Main.java:30:	The class 'Main' has a Cyclomatic Complexity of 8 (Highest = 41).
src/chess/Main.java:30:	The class 'Main' has a Modified Cyclomatic Complexity of 6 (Highest = 25).
